Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Seraya Lane, Singapore",3,26-01-18,"1.3067327, 103.8995011",Tanjong Katong ,13.2,7.2,9.2,11.4,—,—,—,—,—
"Seraya Road, Singapore",1,26-01-18,"1.3058160, 103.9003082",Tanjong Katong ,13.2,7.2,9.2,11.4,—,—,—,—,—
"Jalan Leban, Singapore",4,26-01-18,"1.3732041, 103.8307393",Upper Thomson ,40,19.2,24.2,29.8,—,—,—,—,—
"Jalan Tarum, Singapore",1,26-01-18,"1.3738957, 103.8315861",Upper Thomson ,40,19.2,24.2,29.8,—,—,—,—,—
"Bishan Street 13 (Blk 170), Singapore",1,26-01-18,"1.3464358, 103.8535550",Toa Payoh ,20.8,9.4,11.8,15.2,—,—,—,—,—
"Bishan Street 13 (Blk 171), Singapore",2,26-01-18,"1.3468013, 103.8536456",Toa Payoh ,20.8,9.4,11.8,15.2,—,—,—,—,—
"Bishan Street 13 (Blk 172), Singapore",1,26-01-18,"1.3473887, 103.8533738",Toa Payoh ,20.8,9.4,11.8,15.2,—,—,—,—,—
"Toh Tuck Road (The Beverly), Singapore",4,26-01-18,"1.3393409, 103.7673540",Clementi ,14.6,7.2,10.8,12.6,25.9,32,23.3,4.3,24.1
"Bukit Batok Street 21 (Blk 208), Singapore",2,26-01-18,"1.3458934, 103.7488545",Jurong (North) ,11.2,9.4,10.8,11,—,—,—,—,—
"Woodlands Avenue 6 (Blk 627), Singapore",1,26-01-18,"1.4336154, 103.8010235",Admiralty ,0.4,0.4,0.4,0.4,26.4,31.3,24.8,8.3,34.6
"Woodlands Ring Road (Blk 628B), Singapore",1,26-01-18,"1.4341688, 103.8005255",Admiralty ,0.4,0.4,0.4,0.4,26.4,31.3,24.8,8.3,34.6
"Canberra Drive (Eight Courtyards), Singapore",1,29-01-18,"1.4387162, 103.8304361",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7, Singapore",3,29-01-18,"1.4386374, 103.8334056",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",7,29-01-18,"1.4368965, 103.8317924",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",11,29-01-18,"1.4370075, 103.8309346",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",6,29-01-18,"1.4374434, 103.8318144",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 120), Singapore",1,29-01-18,"1.4348902, 103.8293925",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,29-01-18,"1.4357604, 103.8316812",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",14,29-01-18,"1.4363075, 103.8316116",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 124), Singapore",4,29-01-18,"1.4346195, 103.8309213",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",11,29-01-18,"1.4339140, 103.8311350",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 131), Singapore",1,29-01-18,"1.4332140, 103.8312190",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,29-01-18,"1.4328560, 103.8312980",Yishun ,0,0,0,0,—,—,—,—,—
"Bishan Street 11 (Bishan Loft), Singapore",2,29-01-18,"1.3475101, 103.8521566",Toa Payoh ,0,0,0,0,—,—,—,—,—
"Bishan Street 13 (Blk 170), Singapore",1,29-01-18,"1.3464358, 103.8535550",Toa Payoh ,0,0,0,0,—,—,—,—,—
"Bishan Street 13 (Blk 171), Singapore",2,29-01-18,"1.3468013, 103.8536456",Toa Payoh ,0,0,0,0,—,—,—,—,—
"Bishan Street 13 (Blk 172), Singapore",1,29-01-18,"1.3473887, 103.8533738",Toa Payoh ,0,0,0,0,—,—,—,—,—
"Canberra Drive (1 Canberra), Singapore",5,29-01-18,"1.4377304, 103.8299586",Yishun ,0,0,0,0,—,—,—,—,—
"Redhill Close (Blk 89), Singapore",1,29-01-18,"1.2854623, 103.8187732",Queenstown ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Redhill Close (Blk 90), Singapore",1,29-01-18,"1.2849700, 103.8187016",Queenstown ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Woodlands Avenue 6 (Blk 627), Singapore",2,29-01-18,"1.4336154, 103.8010235",Admiralty ,0,0,0,0,27.5,32.3,24.1,9.7,34.6
"Woodlands Ring Road (Blk 628B), Singapore",1,29-01-18,"1.4341688, 103.8005255",Admiralty ,0,0,0,0,27.5,32.3,24.1,9.7,34.6
"Seagull Walk, Singapore",1,29-01-18,"1.3462844, 103.9644666",Simei ,0.6,0.2,0.2,0.4,—,—,—,—,—
"Upper Changi Road East (Cascadale), Singapore",1,29-01-18,"1.3459940, 103.9630500",Simei ,0.6,0.2,0.2,0.4,—,—,—,—,—
"Canberra Drive (Eight Courtyards), Singapore",1,02-02-18,"1.4387162, 103.8304361",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Avenue 7, Singapore",3,02-02-18,"1.4386374, 103.8334056",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Avenue 7 (Blk 171), Singapore",1,02-02-18,"1.4369974, 103.8319773",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",7,02-02-18,"1.4368965, 103.8317924",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",11,02-02-18,"1.4370075, 103.8309346",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",6,02-02-18,"1.4374434, 103.8318144",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Ring Road (Blk 120), Singapore",1,02-02-18,"1.4348902, 103.8293925",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,02-02-18,"1.4357604, 103.8316812",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Street 11 (Blk 122), Singapore",1,02-02-18,"1.4349397, 103.8309110",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Street 11 (Blk 124), Singapore",5,02-02-18,"1.4346195, 103.8309213",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",11,02-02-18,"1.4339140, 103.8311350",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Street 11 (Blk 131), Singapore",1,02-02-18,"1.4332140, 103.8312190",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,02-02-18,"1.4328560, 103.8312980",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Bishan Street 11 (Bishan Loft), Singapore",2,02-02-18,"1.3475101, 103.8521566",Toa Payoh ,4.2,1.2,1.4,1.8,—,—,—,—,—
"Bishan Street 13 (Blk 170), Singapore",1,02-02-18,"1.3464358, 103.8535550",Toa Payoh ,4.2,1.2,1.4,1.8,—,—,—,—,—
"Bishan Street 13 (Blk 171), Singapore",2,02-02-18,"1.3468013, 103.8536456",Toa Payoh ,4.2,1.2,1.4,1.8,—,—,—,—,—
"Bishan Street 13 (Blk 172), Singapore",1,02-02-18,"1.3473887, 103.8533738",Toa Payoh ,4.2,1.2,1.4,1.8,—,—,—,—,—
"Canberra Drive (1 Canberra), Singapore",5,02-02-18,"1.4377304, 103.8299586",Yishun ,6.8,1.6,2.4,4.4,—,—,—,—,—
"Woodlands Ring Road (Blk 628B), Singapore",1,02-02-18,"1.4341688, 103.8005255",Admiralty ,5.8,1.2,2,3.2,25.2,26.5,23.9,12.6,36.4
"Seagull Walk, Singapore",1,02-02-18,"1.3462844, 103.9644666",Simei ,8.6,1.8,3.2,5.4,—,—,—,—,—
"Upper Changi Road East (Cascadale), Singapore",1,02-02-18,"1.3459940, 103.9630500",Simei ,8.6,1.8,3.2,5.4,—,—,—,—,—
"Canberra Drive (1 Canberra), Singapore",1,05-02-18,"1.4377304, 103.8299586",Yishun ,0,0,0,0,—,—,—,—,—
"Canberra Drive (Eight Courtyards), Singapore",1,05-02-18,"1.4387162, 103.8304361",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7, Singapore",3,05-02-18,"1.4386374, 103.8334056",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 170), Singapore",4,05-02-18,"1.4372031, 103.8325912",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 171), Singapore",1,05-02-18,"1.4369974, 103.8319773",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",7,05-02-18,"1.4368965, 103.8317924",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",13,05-02-18,"1.4370075, 103.8309346",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",6,05-02-18,"1.4374434, 103.8318144",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,05-02-18,"1.4357604, 103.8316812",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",14,05-02-18,"1.4363075, 103.8316116",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 122), Singapore",1,05-02-18,"1.4349397, 103.8309110",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 124), Singapore",5,05-02-18,"1.4346195, 103.8309213",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",11,05-02-18,"1.4339140, 103.8311350",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 131), Singapore",1,05-02-18,"1.4332140, 103.8312190",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,05-02-18,"1.4328560, 103.8312980",Yishun ,0,0,0,0,—,—,—,—,—
"Bukit Timah Road, Singapore",1,05-02-18,"1.3228014, 103.8151035",Botanic Garden ,0,0,0,0,—,—,—,—,—
"Keng Chin Road (Cyan), Singapore",1,05-02-18,"1.3181460, 103.8304625",Newton ,0,0,0,0,26.5,30.1,24.7,9,45.7
"Prince George's Park, Singapore",2,05-02-18,"1.2926245, 103.7793885",Kent Ridge ,0,0,0,0,—,—,—,—,—
"Woodlands Drive 52 (Blk 620), Singapore",2,05-02-18,"1.4336298, 103.7986691",Admiralty ,0,0,0,0,26.4,30,24.5,17.6,54
"Canberra Drive (1 Canberra), Singapore",1,09-02-18,"1.4377304, 103.8299586",Yishun ,0,0,0,0,—,—,—,—,—
"Canberra Drive (Eight Courtyards), Singapore",1,09-02-18,"1.4387162, 103.8304361",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7, Singapore",3,09-02-18,"1.4386374, 103.8334056",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 170), Singapore",4,09-02-18,"1.4372031, 103.8325912",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 171), Singapore",1,09-02-18,"1.4369974, 103.8319773",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",7,09-02-18,"1.4368965, 103.8317924",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",14,09-02-18,"1.4370075, 103.8309346",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",6,09-02-18,"1.4374434, 103.8318144",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,09-02-18,"1.4357604, 103.8316812",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",14,09-02-18,"1.4363075, 103.8316116",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 122), Singapore",1,09-02-18,"1.4349397, 103.8309110",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 124), Singapore",5,09-02-18,"1.4346195, 103.8309213",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",11,09-02-18,"1.4339140, 103.8311350",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 131), Singapore",1,09-02-18,"1.4332140, 103.8312190",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,09-02-18,"1.4328560, 103.8312980",Yishun ,0,0,0,0,—,—,—,—,—
"Woodlands Circle (Blk 732), Singapore",2,09-02-18,"1.4433208, 103.7983069",Admiralty ,0,0,0,0,26.1,30.9,23.3,16.9,47.9
"Woodlands Circle (Blk 733), Singapore",2,09-02-18,"1.4436850, 103.7987597",Admiralty ,0,0,0,0,26.1,30.9,23.3,16.9,47.9
"Bukit Timah Road (Madison Residences), Singapore",1,09-02-18,"1.3188276, 103.8300946",Newton ,0,0,0,0,26.4,31.4,23.9,7.9,36.4
"Keng Chin Road (Cyan), Singapore",1,09-02-18,"1.3181460, 103.8304625",Newton ,0,0,0,0,26.4,31.4,23.9,7.9,36.4
"Jalan Leban, Singapore",2,09-02-18,"1.3732041, 103.8307393",Upper Thomson ,0,0,0,0,—,—,—,—,—
"Prince George's Park, Singapore",2,09-02-18,"1.2926245, 103.7793885",Kent Ridge ,0,0,0,0,—,—,—,—,—
"Yishun Street 21 (Blk 214), Singapore",1,09-02-18,"1.4315300, 103.8361360",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 21 (Blk 215), Singapore",1,09-02-18,"1.4317299, 103.8356351",Yishun ,0,0,0,0,—,—,—,—,—
"Canberra Drive (1 Canberra), Singapore",1,12-02-18,"1.4377304, 103.8299586",Yishun ,0,0,0,0,—,—,—,—,—
"Canberra Drive (Eight Courtyards), Singapore",1,12-02-18,"1.4387162, 103.8304361",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7, Singapore",3,12-02-18,"1.4386374, 103.8334056",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 170), Singapore",4,12-02-18,"1.4372031, 103.8325912",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 171), Singapore",1,12-02-18,"1.4369974, 103.8319773",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",7,12-02-18,"1.4368965, 103.8317924",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",14,12-02-18,"1.4370075, 103.8309346",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",6,12-02-18,"1.4374434, 103.8318144",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,12-02-18,"1.4357604, 103.8316812",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",14,12-02-18,"1.4363075, 103.8316116",Yishun ,0,0,0,0,—,—,—,—,—
"Woodlands Circle (Blk 728), Singapore",1,12-02-18,"1.4429412, 103.7989657",Admiralty ,0,0,0,0,26.8,31.2,23.9,17.6,45.7
"Woodlands Circle (Blk 732), Singapore",2,12-02-18,"1.4433208, 103.7983069",Admiralty ,0,0,0,0,26.8,31.2,23.9,17.6,45.7
"Woodlands Circle (Blk 733), Singapore",2,12-02-18,"1.4436850, 103.7987597",Admiralty ,0,0,0,0,26.8,31.2,23.9,17.6,45.7
"Bukit Timah Road, Singapore",1,12-02-18,"1.3228014, 103.8151035",Botanic Garden ,0,0,0,0,—,—,—,—,—
"Bukit Timah Road (Madison Residences), Singapore",1,12-02-18,"1.3188276, 103.8300946",Newton ,0,0,0,0,27.1,31.8,24.4,9.4,41.4
"Keng Chin Road (Cyan), Singapore",1,12-02-18,"1.3181460, 103.8304625",Newton ,0,0,0,0,27.1,31.8,24.4,9.4,41.4
"Green Lane, Singapore",1,12-02-18,"1.3112417, 103.8926889",Marine Parade ,0,0,0,0,—,—,—,—,—
"Rose Lane, Singapore",1,12-02-18,"1.3102974, 103.8934575",Marine Parade ,0,0,0,0,—,—,—,—,—
"Jalan Leban, Singapore",2,12-02-18,"1.3732041, 103.8307393",Upper Thomson ,0,0,0,0,—,—,—,—,—
"Lorong H Telok Kurau, Singapore",1,12-02-18,"1.3162713, 103.9107491",Tanjong Katong ,0,0,0,0,—,—,—,—,—
"Telok Kurau Road, Singapore",1,12-02-18,"1.3122916, 103.9108615",Tanjong Katong ,0,0,0,0,—,—,—,—,—
"Woodlands Drive 52 (Blk 620), Singapore",2,12-02-18,"1.4336298, 103.7986691",Admiralty ,0,0,0,0,26.8,31.2,23.9,17.6,45.7
"Yishun Street 21 (Blk 214), Singapore",1,12-02-18,"1.4315300, 103.8361360",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 21 (Blk 215), Singapore",1,12-02-18,"1.4317299, 103.8356351",Yishun ,0,0,0,0,—,—,—,—,—
"Canberra Drive 1 Canberra), Singapore",1,15-02-18,"1.4377304, 103.8299586",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Canberra Drive (Eight Courtyards), Singapore",1,15-02-18,"1.4387162, 103.8304361",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Yishun Avenue 7, Singapore",4,15-02-18,"1.4386374, 103.8334056",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Yishun Avenue 7 (Blk 170), Singapore",4,15-02-18,"1.4372031, 103.8325912",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Yishun Avenue 7 (Blk 171), Singapore",1,15-02-18,"1.4369974, 103.8319773",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",7,15-02-18,"1.4368965, 103.8317924",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",15,15-02-18,"1.4370075, 103.8309346",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",6,15-02-18,"1.4374434, 103.8318144",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"ishun Ring Road (Blk 165), Singapore",1,15-02-18,"1.4357604, 103.8316812",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"ishun Ring Road (Blk 166), Singapore",14,15-02-18,"1.4363075, 103.8316116",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Woodlands Circle (Blk 728), Singapore",1,15-02-18,"1.4429412, 103.7989657",Admiralty ,1.8,1.4,1.4,1.8,27.2,32.9,24.3,10.1,33.1
"Woodlands Circle (Blk 732), Singapore",2,15-02-18,"1.4433208, 103.7983069",Admiralty ,1.8,1.4,1.4,1.8,27.2,32.9,24.3,10.1,33.1
"Woodlands Circle (Blk 733), Singapore",2,15-02-18,"1.4436850, 103.7987597",Admiralty ,1.8,1.4,1.4,1.8,27.2,32.9,24.3,10.1,33.1
"Jalan Leban, Singapore",3,15-02-18,"1.3732041, 103.8307393",Upper Thomson ,0,0,0,0,—,—,—,—,—
"Green Lane, Singapore",1,15-02-18,"1.3112417, 103.8926889",Marine Parade ,0,0,0,0,—,—,—,—,—
"Rose Lane, Singapore",1,15-02-18,"1.3102974, 103.8934575",Marine Parade ,0,0,0,0,—,—,—,—,—
"Lorong H elok Kurau, Singapore",1,15-02-18,"1.3162713, 103.9107491",Tanjong Katong ,0,0,0,0,—,—,—,—,—
"elok Kurau Road, Singapore",1,15-02-18,"1.3122916, 103.9108615",Tanjong Katong ,0,0,0,0,—,—,—,—,—
"Prince George's Park, Singapore",2,15-02-18,"1.2926245, 103.7793885",Kent Ridge ,0,0,0,0,—,—,—,—,—
"Woodlands Avenue 5 Bellewoods), Singapore",1,15-02-18,"1.4328796, 103.8006955",Admiralty ,1.8,1.4,1.4,1.8,27.2,32.9,24.3,10.1,33.1
"Woodlands Drive 52 (Blk 620), Singapore",2,15-02-18,"1.4336298, 103.7986691",Admiralty ,1.8,1.4,1.4,1.8,27.2,32.9,24.3,10.1,33.1
"ishun Street 21 (Blk 214), Singapore",1,15-02-18,"1.4315300, 103.8361360",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"ishun Street 21 (Blk 215), Singapore",1,15-02-18,"1.4317299, 103.8356351",Yishun ,7.6,7,7.2,7.6,—,—,—,—,—
"Woodlands Circle (Blk 728), Singapore",1,19-02-18,"1.4429412, 103.7989657",Admiralty ,0,0,0,0,27.1,32,23.9,15.5,41.4
"Woodlands Circle (Blk 732), Singapore",2,19-02-18,"1.4433208, 103.7983069",Admiralty ,0,0,0,0,27.1,32,23.9,15.5,41.4
"Woodlands Circle (Blk 733), Singapore",4,19-02-18,"1.4436850, 103.7987597",Admiralty ,0,0,0,0,27.1,32,23.9,15.5,41.4
"Woodlands Crescent (Blk 787B), Singapore",2,19-02-18,"1.4442589, 103.8009330",Admiralty ,0,0,0,0,27.1,32,23.9,15.5,41.4
"Woodlands Crescent (Blk 788B), Singapore",1,19-02-18,"1.4438901, 103.8012046",Admiralty ,0,0,0,0,27.1,32,23.9,15.5,41.4
"Woodlands Drive 60 (Blk 786B), Singapore",1,19-02-18,"1.4455999, 103.8007292",Admiralty ,0,0,0,0,27.1,32,23.9,15.5,41.4
"Woodlands Drive 60 (Blk 786D), Singapore",1,19-02-18,"1.4467543, 103.8010235",Admiralty ,0,0,0,0,27.1,32,23.9,15.5,41.4
"Jalan Leban, Singapore",3,19-02-18,"1.3732041, 103.8307393",Upper Thomson ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",1,19-02-18,"1.4374434, 103.8318144",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 175), Singapore",1,19-02-18,"1.4375300, 103.8323980",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Ring Road (Blk 167), Singapore",1,19-02-18,"1.4365889, 103.8325225",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 21 (Blk 214), Singapore",1,19-02-18,"1.4315300, 103.8361360",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 21 (Blk 215), Singapore",1,19-02-18,"1.4317299, 103.8356351",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 21 (Blk 216), Singapore",1,19-02-18,"1.4323510, 103.8362490",Yishun ,0,0,0,0,—,—,—,—,—
"Choa Chu Kang Avenue 2, Singapore",1,19-02-18,"1.3783588, 103.7427563",Choa Chu Kang (Central) ,0,0,0,0,—,—,—,—,—
"Choa Chu Kang Avenue 2 (Blk 275), Singapore",1,19-02-18,"1.3793957, 103.7422669",Choa Chu Kang (Central) ,0,0,0,0,—,—,—,—,—
"Jalan Tarum, Singapore",1,19-02-18,"1.3738957, 103.8315861",Upper Thomson ,0,0,0,0,—,—,—,—,—
"Thomson Walk, Singapore",1,19-02-18,"1.3765499, 103.8326719",Upper Thomson ,0,0,0,0,—,—,—,—,—
"Pasir Ris Drive 10 (Blk 703), Singapore",1,19-02-18,"1.3804386, 103.9371036",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Drive 10 (Blk 737), Singapore",1,19-02-18,"1.3796521, 103.9369450",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Woodlands Avenue 6 (Twin Fountains), Singapore",1,19-02-18,"1.4310390, 103.7998168",Admiralty ,0,0,0,0,27.1,32,23.9,15.5,41.4
"Woodlands Circle (Blk 728), Singapore",1,23-02-18,"1.4429412, 103.7989657",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
"Woodlands Circle (Blk 729), Singapore",1,23-02-18,"1.4425116, 103.7985786",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
"Woodlands Circle (Blk 732), Singapore",2,23-02-18,"1.4433208, 103.7983069",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
"Woodlands Circle (Blk 733), Singapore",4,23-02-18,"1.4436850, 103.7987597",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
"Woodlands Crescent (Blk 787B), Singapore",2,23-02-18,"1.4442589, 103.8009330",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
"Woodlands Crescent (Blk 788B), Singapore",1,23-02-18,"1.4438901, 103.8012046",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
"Woodlands Drive 60 (Blk 786B), Singapore",1,23-02-18,"1.4455999, 103.8007292",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
"Woodlands Drive 60 (Blk 786D), Singapore",1,23-02-18,"1.4467543, 103.8010235",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
"Eng Kong Garden, Singapore",1,23-02-18,"1.3343037, 103.7690482",Clementi ,17.6,7.2,8.4,10,26.1,32.5,23.2,5.4,24.8
"Jalan Leban, Singapore",3,23-02-18,"1.3732041, 103.8307393",Upper Thomson ,10,4,6.6,9.6,—,—,—,—,—
"Redhill Close (Blk 89), Singapore",1,23-02-18,"1.2854623, 103.8187732",Queenstown ,14.8,9.2,10,11.6,—,—,—,—,—
"Redhill Close (Blk 90), Singapore",2,23-02-18,"1.2849700, 103.8187016",Queenstown ,14.8,9.2,10,11.6,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",1,23-02-18,"1.4374434, 103.8318144",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 175), Singapore",1,23-02-18,"1.4375300, 103.8323980",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Ring Road (Blk 167), Singapore",1,23-02-18,"1.4365889, 103.8325225",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 21 (Blk 214), Singapore",1,23-02-18,"1.4315300, 103.8361360",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 21 (Blk 215), Singapore",1,23-02-18,"1.4317299, 103.8356351",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 21 (Blk 216), Singapore",1,23-02-18,"1.4323510, 103.8362490",Yishun ,0,0,0,0,—,—,—,—,—
"Choa Chu Kang Avenue 2, Singapore",1,23-02-18,"1.3783588, 103.7427563",Choa Chu Kang (Central) ,44.6,22.8,27.4,43.2,—,—,—,—,—
"Choa Chu Kang Avenue 2 (Blk 275), Singapore",1,23-02-18,"1.3793957, 103.7422669",Choa Chu Kang (Central) ,44.6,22.8,27.4,43.2,—,—,—,—,—
"Jalan Tarum, Singapore",1,23-02-18,"1.3738957, 103.8315861",Upper Thomson ,10,4,6.6,9.6,—,—,—,—,—
"Pasir Ris Drive 10 (Blk 703), Singapore",1,23-02-18,"1.3804386, 103.9371036",Pasir Ris (Central) ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Pasir Ris Drive 10 (Blk 737), Singapore",1,23-02-18,"1.3796521, 103.9369450",Pasir Ris (Central) ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Woodlands Avenue 5 Bellewoods), Singapore",1,23-02-18,"1.4328796, 103.8006955",Admiralty ,12.4,11.4,11.6,12,26.4,31.5,23.3,10.1,40.7
