Cantonment Close (Blk 18),"1.2738709, 103.8394238"
ivervale Walk (Blk 107),"1.3830761, 103.9003069"
ds Avenue 6 lk 679),"1.4387944, 103.8030299"
Bishan Street 13 (Blk 175),"1.3488546, 103.8539160"
Soo Chow Drive,"1.3538658, 103.8312326"
sat Road,"1.2916430, 103.8446420"
unos Crescent (Blk 8),"1.3213740, 103.9046615"
ast Street 24 lk 246),"1.3418180, 103.7398230"
Lorong 5 Toa Payoh (Blk 63),"1.3359612, 103.8521218"
Potong Pasir Avenue 1 (Blk 108),"1.3350245, 103.8678461"
Tampines Street 82 (Blk 854),"1.3529801, 103.9366504"
Bedok North Avenue 3 (Blk 506),"1.3322117, 103.9337498"
Lorong H Telok Kurau,"1.3162713, 103.9107491"
Simei Street 4 (Simei Green Condominium),"1.3409501, 103.9579852"
Telok Blangah Street 31 (Blk 92B),"1.2757450, 103.8071547"
Choa Chu Kang Crescent (Blk 675),"1.4014456, 103.7460685"
Bedok North Avenue 3 (Blk 507),"1.3329865, 103.9326168"
Joo Chiat Avenue,"1.3099091, 103.9020269"
Jalan Eunos (Eunos Mansion),"1.3298667, 103.9056122"
Lorong 1 Toa Payoh Trellis Towers),"1.3302388, 103.8436858"
Kampong Eunos Deng Fu Ville),"1.3189350, 103.9065726"
Hougang Avenue 8 (Blk 502),"1.3727349, 103.8868168"
Jalan Melor,"1.3317964, 103.8846215"
Mackenzie Road (Mackenzie Regency),"1.3045775, 103.8496894"
Jalan Tenaga (Blk 655),"1.3333365, 103.9068090"
hee Road lk 805),The address probably not exists
Bedok Walk,"1.3306126, 103.9470657"
Hougang Avenue 6 (Blk 425),"1.3736873, 103.8929442"
Pasir Ris Street 51 (Blk 528C),"1.3710581, 103.9480495"
Jurong West Street 91 (Blk 909),"1.3412034, 103.6864671"
Woodlands Avenue 6 (Blk 762),"1.4460504, 103.7961337"
Bedok Reservoir Road (Blk 125),"1.3330077, 103.9099130"
Keat Hong Link (Blk 817B),"1.3766787, 103.7492819"
Lorong 32 Geylang,"1.3119278, 103.8870177"
Pending Road (Blk 118),"1.3768954, 103.7685186"
Woodlands Ring Road (Blk 669),"1.4383288, 103.7983975"
Telok Blangah Crescent (Blk 23),"1.2761723, 103.8207692"
Rivervale Walk (Blk 107),"1.3830761, 103.9003069"
oon Lay Place (Blk 212),"1.3491579, 103.7129467"
Bedok South Road (Blk 171),"1.3209481, 103.9454722"
Lorong 4 Toa Payoh (Blk 56),"1.3370682, 103.8503578"
hee Street lk 54),The address probably not exists
Tampines Street 42 (Blk 450D),"1.3571308, 103.9528766"
ds Avenue 4 lk 610),"1.3582381, 103.8706691"
Wilkie Road (Le Wilkie),"1.3028010, 103.8479250"
Hougang Avenue 7 (Blk 325),"1.3675372, 103.8986531"
hoa Chu Kang Street 51 (Blk 518),"1.3908333, 103.7423574"
Braddell Rise,"1.3426282, 103.8445168"
Lorong 8 Toa Payoh (Blk 233),"1.3382109, 103.8584432"
Circuit Road (Blk 62),"1.3262825, 103.8871308"
Bukit Batok Street 31 (Blk 347),"1.3598048, 103.7509017"
Aljunied Crescent (Blk 112),"1.3203815, 103.8851348"
hoa Chu Kang Avenue 4 (Blk 419),"1.3820393, 103.7415428"
Bukit Batok Street 51 (Blk 532),"1.3562666, 103.7495987"
Tampines Street 83 (Blk 886A),"1.3518750, 103.9323140"
Pasir Ris Street 11 (Blk 119),"1.3675158, 103.9548710"
edok Reservoir Road (Blk 711),"1.3360022, 103.9235982"
Hougang Avenue 1 (Blk 172),"1.3505471, 103.8894329"
Pasir Ris Drive 3 (Eastvale Condominium),"1.3744295, 103.9535383"
Bukit Batok Street 34 (Blk 338),"1.3635134, 103.7508660"
Lorong 7 Toa Payoh (Blk 7),"1.3379968, 103.8572682"
Bedok Reservoir View (Blk 765),"1.3361510, 103.9358346"
Defu Lane 6,"1.3600893, 103.8983316"
Ring Road lk 363),"1.4290276, 103.8451326"
Yishun Street 81 (Blk 872),"1.4135866, 103.8369782"
Hougang Avenue 8 (Blk 642),"1.3716913, 103.8800069"
Jalan Membina (Blk 118C),"1.2823678, 103.8263583"
Woodlands Drive 14 (Blk 525),"1.4324161, 103.7931456"
engkong Lima,"1.3274238, 103.9136156"
Kallang Bahru (Blk 64),"1.3203667, 103.8684124"
Seletar Road (The Greenwich),"1.3873715, 103.8692753"
Ipoh Lane (Versilia on Haig),"1.3121902, 103.8959146"
Chai Chee Road (Blk 25),"1.3238010, 103.9241597"
unos Crescent (Blk 12),"1.3222850, 103.9041130"
Choa Chu ang Avenue 2 (Blk 250),"1.3793643, 103.7453885"
Marine Drive (Blk 75),"1.3033037, 103.9074434"
nds Drive 62 k 681C),"1.4398411, 103.8031063"
Jalan Yasin,"1.3209188, 103.9062743"
Ang Mo Kio Avenue 10 (Blk 413),"1.3635721, 103.8536456"
an Drive,"1.3256279, 103.8978195"
nds Drive 73 k 685C),"1.4417334, 103.8057324"
Rowell Rd,"1.3084832, 103.8550364"
Lorong Mydin (Astoria Park),"1.3211298, 103.9117094"
orth Street 3 lk 554),"1.3326826, 103.9282207"
Choa Chu ang Avenue 3 (Blk 285),"1.3800674, 103.7417874"
Upper Serangoon Cresent (Riversails),"1.3777304, 103.9023859"
g K Telok urau Galleria),"1.3127820, 103.9120710"
Yunnan Walk 3,"1.3389849, 103.6902390"
Woodlands Avenue 6 (Blk 725),"1.4448954, 103.7988955"
ands Circle lk 738),The address probably not exists
oa Payoh East (Blk 25),"1.3335315, 103.8569974"
Yishun Avenue 6 (Blk 403),"1.4269743, 103.8488897"
oe Avenue,"1.3260514, 103.6527782"
Pelatina,"1.3509368, 103.8346689"
Lorong 27 Geylang (The Alcove),"1.3146203, 103.8839036"
Kaki Bukit Crescent,"1.3361646, 103.9072036"
Holland Close (Blk 4),"1.3079724, 103.7957715"
oon Lay Place (Blk 215),"1.3487219, 103.7123131"
nds Drive 62 k 684C),"1.4415238, 103.8040118"
gton Circle k 508C),The address probably not exists
Tanah Merah Kechil Road,"1.3284824, 103.9437757"
Teck Whye Lane (Blk 118),"1.3799337, 103.7505039"
Reservoir View lk 765),"1.3361510, 103.9358346"
Ang Mo Kio Avenue 8 (Blk 509),"1.3739957, 103.8501126"
Tampines Street 34 (Blk 367),"1.3581446, 103.9602324"
Choa Chu Kang Avenue 4 (Blk 464),"1.3768676, 103.7358405"
Rowell Road (Blk 642),"1.3075420, 103.8564730"
Woodlands Drive 62 (Blk 683A),"1.4402104, 103.8027441"
kong Dua,The address probably not exists
ayshore Road The Bayshore),"1.3132123, 103.9403992"
Rivervale Crescent (Blk 159A),"1.3878890, 103.9073163"
Pandan Gardens (Blk 406),"1.3188461, 103.7491461"
Bedok eservoir Road (Blk 130),"1.3335058, 103.9123599"
Upper Boon Keng Road (Blk 11),"1.3142619, 103.8708812"
Everitt Road (Lotus at Joo Chiat),"1.3139280, 103.9020208"
Bishan Street 22 (Blk 252),"1.3620928, 103.8435905"
Aljunied Crescent (Blk 108),"1.3190980, 103.8852646"
oon Lay Place (Blk 221),"1.3461938, 103.7124483"
Jurong West Street 91 (Blk 913),"1.3419698, 103.6876074"
Rivervale Street (Blk 138),"1.3882159, 103.9042760"
Yio Chu Kang Road,"1.3877540, 103.8417085"
Sin Ming Avenue (Blk 407),"1.3634620, 103.8340510"
Pasir Ris Street 52 (Blk 506),"1.3770049, 103.9447859"
Gangsa Road (Blk 154),"1.3748817, 103.7650558"
Lengkong Tiga (Blk 108),"1.3248120, 103.9100036"
Petir Road (Blk 167),"1.3774298, 103.7648974"
Tampines Street 81 (Blk 817),"1.3476359, 103.9367410"
engkang East Avenue (Riversound Residences),"1.3812336, 103.9025174"
Holland Avenue (Blk 12),"1.3095155, 103.7945943"
Bukit Batok East Avenue 3 (Blk 230),"1.3477999, 103.7548292"
Jurong West Street 41 (Blk 471),"1.3485733, 103.7222452"
Paya Lebar Way (Blk 91),"1.3226770, 103.8867146"
nds Drive 42 lk 602),"1.4369726, 103.7969314"
Serangoon Central (Blk 418),"1.3497503, 103.8753887"
Yishun Avenue 11 (Bk 350),"1.4246671, 103.8446169"
Pasir Ris Street 21 (Blk 274),"1.3641840, 103.9641862"
ommonwealth Drive (Blk 94),"1.3056764, 103.8007519"
Joo Chiat Lane,"1.3124853, 103.9028281"
33 Geylang,"1.3152493, 103.8877557"
ds Avenue 5 lewoods),"1.3759715, 103.8559363"
Choa Chu Kang North 6 (Blk 556),"1.3957299, 103.7437139"
Tai Yuan Heights,"1.3592180, 103.8692210"
son Walk,"1.2979440, 103.7902028"
Choa Chu Kang Avenue 3 (Blk 401),"1.3796490, 103.7397099"
nds Drive 42 lk 601),"1.4369726, 103.7969314"
Hougang Avenue 1 (Blk 311),"1.3660710, 103.8974237"
orong N Telok Kurau (Treescape),"1.3111438, 103.9165725"
Ang Mo Kio Avenue 10 (Blk 420),"1.3649676, 103.8530114"
Tanglin Halt Road (Blk 89),"1.3012964, 103.7990313"
Mayflower Avenue,"1.3717380, 103.8394800"
Wilkinson Road,"1.3026352, 103.8908503"
Jelebu Road (Blk 183),"1.3799312, 103.7633584"
Ang Mo Kio Avenue 3 (Blk 210),"1.3686147, 103.8432282"
Sembawang Close (Blk 329),"1.4463021, 103.8177091"
Bishan Street 13 (Blk 171),"1.3468013, 103.8536456"
Lorong 4 Toa Payoh (Blk 85),"1.3363581, 103.8484195"
Upper East Coast Road (Bagnall Court),"1.3204301, 103.9547620"
Jurong East Street 21 (Blk 230),"1.3415390, 103.7373792"
ougang Street 11 (Blk 156),"1.3527286, 103.8794659"
Hougang Central (Blk 836),"1.3699453, 103.8908827"
1A Geylang,"1.3134894, 103.8837100"
Tanjong Rhu Road Emerald East),"1.2995914, 103.8839926"
Tanah Merah Kechil Avenue (D'Manor),"1.3293843, 103.9463352"
Woodlands Crescent (Blk 775),"1.4485953, 103.8001180"
Senyum,"1.3222960, 103.9144186"
Jalan Chempaka Kuning,"1.3310976, 103.9495789"
nds Drive 75 k 689A),"1.4445088, 103.8079963"
Marine Drive (Blk 73),"1.3037451, 103.9082558"
Lorong 5 Toa Payoh (Blk 38),"1.3353723, 103.8550950"
Jurong East Street 21 (Blk 209),"1.3378137, 103.7400272"
Woodlands Drive 50 (Blk 897A),"1.4365587, 103.7938247"
ng Bahru lk 58),"1.2977622, 103.7975000"
Hougang Avenue 1 (Blk 165),"1.3505387, 103.8877339"
Hougang Street 11 (The Minton),"1.3517738, 103.8812648"
lang East enue 1 ral Grove),"1.3159873, 103.8844239"
Teck Whye Lane (Blk 20),"1.3788186, 103.7531290"
Towner Road (Blk 101),"1.3193077, 103.8609838"
Serangoon orth Avenue 4 (Blk 526),"1.3717449, 103.8727538"
Choa Chu Kang Avenue 4 (Blk 416),"1.3832841, 103.7418143"
Mugliston Gardens,"1.3848117, 103.8775371"
oo Chow Way,"1.3530581, 103.8320706"
is Drive 6 lk 409),"1.3729387, 103.9542364"
Woodlands Avenue 6 (Blk 791),"1.4427646, 103.8021781"
Tampines Avenue 1 (Waterview),"1.3488443, 103.9263329"
Tampines Street 71 (Blk 721),"1.3600832, 103.9363784"
Woodlands Drive 14 (Blk 520),"1.4343276, 103.7926023"
Holland Close (Blk 3),"1.3082600, 103.7966770"
Bedok Reservoir View (Blk 773),"1.3362884, 103.9373755"
Serangoon Avenue 1 (Blk 426),"1.3477732, 103.8762880"
Hougang Avenue 4 (Blk 602),"1.3711398, 103.8870770"
Simei Street 4 (Blk 221),"1.3417576, 103.9564348"
Upper Changi Road East (Summer Gardens),"1.3301733, 103.9510694"
Toa Payoh North (Blk 200),"1.3413981, 103.8511091"
Tampines Street 41 (Blk 417),"1.3587932, 103.9471881"
Woodlands Ring Road (Blk 666),"1.4382979, 103.7974467"
Bedok Reservoir Road (Blk 109),"1.3298069, 103.9097997"
Marine Crescent (Blk 28),"1.3033982, 103.9134021"
Woodlands Avenue 4 (Blk 615),"1.4340813, 103.7968581"
Woodlands Street 82 (Blk 874),"1.4429334, 103.7895141"
Marine Terrace (Blk 58),"1.3058461, 103.9137193"
Ang Mo Kio Avenue 3 (Blk 328),"1.3666828, 103.8478480"
nds Drive 50 k 898B),"1.4351690, 103.7951560"
Still Road,"1.3128404, 103.9069852"
Pheng Geck Avenue (Nin Residence),"1.3327138, 103.8699209"
Eastwood Walk,"1.3224900, 103.9567508"
Woodlands Ring Road (Blk 636),"1.4367720, 103.8026870"
Woodlands Drive 62 (Blk 681B),"1.4393262, 103.8032874"
Lorong 8 Toa Payoh (Blk 11),"1.3370920, 103.8590050"
Woodlands Crescent (Blk 787D),"1.4454474, 103.8016348"
Bishan Street 13 (Blk 173),"1.3476768, 103.8541891"
Teban Gardens Road (Blk 60),"1.3226974, 103.7386224"
Choa Chu ang Avenue 3 (Blk 409),"1.3811320, 103.7418680"
oo Chiat Place (Flora East),"1.3142177, 103.9056119"
Hougang Avenue 3 (Blk 18),"1.3632010, 103.8918795"
Bukit Batok East Avenue 5 (Blk 232),"1.3494301, 103.7547616"
ougang Street 51 (Blk 564),"1.3800593, 103.8887093"
Pasir Ris Street 11 (Blk(140),"1.3638290, 103.9592226"
orong K Telok Kurau (La Vida @ 130),"1.3137274, 103.9149755"
Bournemouth Road,"1.3019640, 103.8935082"
Woodlands Street 82 (Blk 822),"1.4419063, 103.7894235"
Jurong East Street 24 (Blk 258),"1.3437346, 103.7389199"
Tembeling Road,"1.3104906, 103.9028207"
Choa Chu Kang Avenue 4 (Blk 430),"1.3838220, 103.7411110"
ivervale Walk (Blk 103),"1.3830001, 103.9007600"
Hougang Avenue 5 (Blk 319),"1.3657345, 103.8969540"
Bedok North Avenue 3 (Blk 508),"1.3334266, 103.9324355"
Ang Mo Kio Avenue 5 (Blk 182),"1.3771525, 103.8367065"
Hougang Avenue 8 (Blk 643),"1.3715437, 103.8806396"
King George's Avenue (Blk 7),"1.3076854, 103.8598963"
Yishun Ring Road (Blk 410),"1.4264383, 103.8465798"
Frankel Drive,"1.3169190, 103.9153716"
Tampines Street 42 (Blk 446),"1.3579473, 103.9509729"
Woodlands Drive 60 (Blk 786F),"1.4463735, 103.8002765"
Ghim Moh Road (Blk 17),"1.3099937, 103.7876222"
Cashew Road (Cashew Parkk Condominium),"1.3713709, 103.7676590"
Changi North Street 1,"1.3511854, 103.9684880"
Pine Close (Blk 10),"1.3091671, 103.8822770"
Jalan Lembah Thomson,"1.3526332, 103.8326536"
ng Bahru lk 60),The address probably not exists
Choa Chu Kang Street 64 (Blk 639),"1.3977969, 103.7491009"
Woodlands Drive 40 (Blk 706),"1.4398521, 103.7966889"
Bedok Reservoir Road (Blk 643),"1.3310738, 103.9058122"
Yishun Avenue 11 (Blk 428A),"1.4225452, 103.8473951"
Lengkong Dua,"1.3258695, 103.9120939"
Woodlands Street 83 (Blk 833),"1.4401420, 103.7905080"
Yishun Street 72 (Blk 745),"1.4293510, 103.8333200"
Balam Road (Blk 22),"1.3301344, 103.8878019"
Bedok North Street 3 (Blk 524),"1.3348637, 103.9306680"
Tampines Street 45 (Blk 498H),"1.3629810, 103.9574550"
mber Gardens (One Amber),"1.3014879, 103.8981665"
oo Chiat Place,"1.3099091, 103.9020269"
n Singa ga Hills),"1.3520830, 103.8198360"
Woodlands Street 81 (Blk 807),"1.4420677, 103.7872600"
Jurong East Street 13 (Blk 114),"1.3392112, 103.7345734"
Jalan Eunos (Eunos Mansions),"1.3298667, 103.9056122"
Yishun Avenue 11 (Blk 351),"1.4265255, 103.8443152"
Bendemeer Road (Blk 38A),"1.3201933, 103.8670053"
Shanghai Road Shanghai One),"1.2947721, 103.8277895"
Jalan Mutiara The Montana),"1.2962463, 103.8292055"
Pasir Ris Street 21 (Blk 270),"1.3654829, 103.9642996"
Ang Mo Kio Avenue 6 (Blk 727),"1.3726272, 103.8461269"
Bedok South Road (Blk 164),"1.3200746, 103.9466203"
Lorong 20 Geylang (Treasures@G20),"1.3114027, 103.8815883"
Bedok Reservoir Road (Blk 138),"1.3345261, 103.9130849"
Yishun Ring Road (Blk 342B),"1.4303552, 103.8449266"
Jalan Gembira,"1.3322836, 103.8805745"
ast Street 24 lk 250),"1.3426414, 103.7399362"
Pandan Gardens (Blk 410),"1.3189653, 103.7474715"
Hougang Street 11 (Blk 161),"1.3525869, 103.8786504"
Woodlands Drive 62 (Blk 684C),"1.4415238, 103.8040118"
Evelyn Road,"1.3162359, 103.8400196"
Jurong West Street 64 (Blk 664C),"1.3381255, 103.7030539"
Ang Mo Kio Avenue 1 (Blk 304),"1.3663881, 103.8450172"
Vernon Park,"1.3388380, 103.8763884"
Holland Drive (Blk 41),"1.3076078, 103.7934462"
Bishan Street 25 (Clover By The Park),"1.3595270, 103.8458300"
Bedok Reservoir View (Blk 712),"1.3363398, 103.9354138"
nds Crescent k 788C),"1.4438487, 103.8019743"
Tampines Street 84 (Blk 876),"1.3531584, 103.9312118"
Telok Blangah Rise (Blk 40),"1.2722113, 103.8232113"
ds Street 83 lk 834),"1.4408196, 103.7936850"
Upper Paya Lebar Road,"1.3431216, 103.8828490"
Hougang Avenue 5 (Blk 324),"1.3675124, 103.8974855"
o Street,The address probably not exists
Jalan Tani,"1.3668101, 103.8848830"
18 Geylang,"1.3112728, 103.8807187"
hoa Chu Kang Avenue 3 (Blk 285),"1.3800674, 103.7417874"
Choa Chu Kang Avenue 4 (Blk 419),"1.3820393, 103.7415428"
Choa Chu Kang Central (Blk 234),"1.3802408, 103.7481504"
Marine Drive (Blk 77),"1.3019995, 103.9085536"
Woodlands Avenue 4 (Blk 610),"1.4353872, 103.7963374"
Lorong 2 Toa Payoh (Blk 144),"1.3352889, 103.8441340"
n Leban,"1.3732041, 103.8307393"
Kio Avenue 3 lk 212),"1.3688441, 103.8415977"
Kampong Eunos,"1.3188683, 103.9065195"
Sing Avenue,"1.3150882, 103.8540590"
hoa Chu Kang Central (Blk 354),"1.3825953, 103.7436020"
Choa Chu Kang Central (Blk 218),"1.3829126, 103.7458094"
Taman Siglap,"1.3202229, 103.9211019"
Choa Chu ang Avenue 5 (Blk 476B),"1.3770204, 103.7377197"
Bedok South Avenue 1 (Blk 1),"1.3208750, 103.9337491"
Hougang Avenue 3 (Blk 253),"1.3604897, 103.8921513"
Woodlands Drive 62 (Blk 681C),"1.4398411, 103.8031063"
ds Street 83 lk 835),"1.3532070, 103.9344639"
Bedok Reservoir Road (Blk 613),"1.3319589, 103.9166817"
Jalan Rengkam,"1.3624671, 103.8886520"
Hougang Central (Blk 837),"1.3693914, 103.8916530"
East Coast Road (The Sound),"1.3099559, 103.9148793"
Yishun Street 81 (Blk 868),"1.4137295, 103.8376122"
Tampines Street 41 (Blk 420),"1.3578944, 103.9475281"
Owen Road,"1.3147707, 103.8521392"
Woodlands Ring Road (Blk 639),"1.4376386, 103.8031968"
Tampines Street 41 (Blk 419),"1.3582652, 103.9467122"
Jalan Kuras,"1.3748453, 103.8294927"
Strathmore Avenue (Blk 55),"1.2933024, 103.8094000"
Jalan Tenaga (Blk 650),"1.3319051, 103.9075794"
Bedok eservoir Road (Blk 643),"1.3310738, 103.9058122"
Jalan Singa (Singa Hills),"1.3303730, 103.9083330"
Ang Mo Kio Avenue 3 (Blk 311),"1.3666221, 103.8488218"
Bishan Street 24 (Blk 264),"1.3583667, 103.8419601"
Bishan Street 13 (Blk 180),"1.3484895, 103.8523839"
unos Crescent (Blk 23),"1.3242199, 103.9020395"
Sturdee Road,"1.3125982, 103.8588713"
Pending Road (Blk 225),"1.3755339, 103.7725700"
ampines Street 72 (Blk 722),"1.3599405, 103.9357439"
Woodlands Centre Road,"1.4378447, 103.7710603"
Lorong 2 Toa Payoh (Blk 142),"1.3357229, 103.8450399"
Rivervale Walk (Blk 105),"1.3821683, 103.9007038"
Avenue 6 lk 406),"1.4259081, 103.8492973"
Choa Chu ang Avenue 3 (Blk 413),"1.3813730, 103.7426289"
Kim Keat Avenue (Blk 196),"1.3313306, 103.8589847"
Sin Ming Road (Blk 23),"1.3543011, 103.8358007"
Aljunied Crescent (Blk 98),"1.3208159, 103.8856777"
Tampines Street 34 (Blk 365),"1.3576164, 103.9605598"
ok Lane,The address probably not exists
Eastwood Green,"1.3222849, 103.9548450"
Eastwood Terrace,"1.3218063, 103.9569024"
Tavistock Ave,"1.3689461, 103.8627407"
Lengkong Satu,"1.3265500, 103.9129864"
Pasir Ris Street 21 (Blk 210),"1.3669459, 103.9614664"
Ipoh Lane (Emery Point),"1.3117080, 103.8957262"
Upp Changi Road East (Sunhaven),"1.3477608, 103.9628637"
Bedok North Road (Blk 79),"1.3277080, 103.9408200"
Shunfu Road (Blk 307),"1.3505575, 103.8383403"
Lorong 1 Toa Payoh (Blk 238),"1.3402241, 103.8515620"
engkong Tiga (Blk 113),"1.3236305, 103.9119068"
edok Reservoir Road (Blk 641),"1.3318818, 103.9052684"
Bukit Batok Street 21 (Blk 210A),"1.3455705, 103.7508684"
oon Lay Place (Blk 208),"1.3473196, 103.7141227"
Jurong West Street 42 (Blk 450),"1.3521946, 103.7175617"
Woodlands Crescent (Blk 787E),"1.4448377, 103.8022913"
Hougang Street 51 (Blk 575),"1.3778812, 103.8868052"
Woodlands Crescent (Blk 788C),"1.4438487, 103.8019743"
Jurong West Street 52 (Blk 533),"1.3489178, 103.7164759"
Jurong East Street 13 (Westmere),"1.3375470, 103.7360410"
Bowmont Gardens,"1.3143300, 103.9200577"
Rivervale Cresent (Blk 180D),"1.3893902, 103.9104567"
rhout Road,"1.3292020, 103.9311197"
ommonwealth Drive (Blk 89),"1.3055376, 103.7993936"
an Lana,"1.3318275, 103.8063983"
ivervale Drive (Blk 186B),"1.3925806, 103.9053240"
Choa Chu Kang Avenue 4 (Blk 435),"1.3851398, 103.7410676"
Seagull Walk,"1.3462844, 103.9644666"
Hougang Avenue 6 (Blk 528),"1.3752207, 103.8907015"
Hougang Avenue 4 (Blk 682),"1.3740792, 103.8855366"
Edgedale Plains (Blk 172C),"1.3954612, 103.9123599"
Jurong West Avenue 1 (Blk 539),"1.3509698, 103.7163857"
Tampines Street 41 (Blk 404),"1.3582054, 103.9444460"
Choa Chu Kang Avenue 3 (Blk 282),"1.3803429, 103.7432625"
Hougang Avenue 1 (Blk 174B),"1.3495785, 103.8891837"
Bedok Reservoir Road (Blk 122),"1.3320522, 103.9106380"
Choa Chu ang Avenue 2 (Blk 297A),"1.3771787, 103.7425430"
Geylang East Avenue 1 (Blk 132),"1.3162784, 103.8858583"
Tampines Street 33 (Blk 312),"1.3527868, 103.9571374"
Lorong 1 Toa Payoh (Blk 103),"1.3401157, 103.8481424"
Jalan Chermat,"1.3516677, 103.8783188"
West Street 52 lk 516),"1.3454440, 103.7201709"
Bedok eservoir Road (Blk 101),"1.3284164, 103.9098450"
Kingswear Avenue,"1.3680671, 103.8655659"
ommonwealth Crescent (Blk 96),"1.3062591, 103.8012046"
Petir Road (Blk 206),"1.3737112, 103.7740412"
Lorong K Telok Kurau (The Amery),"1.3119429, 103.9084259"
Serangoon Central (Blk 204),"1.3524705, 103.8732135"
Jalan Sendudok (The Nautical),"1.4432400, 103.8245788"
Ang Mo Kio Avenue 6 (Blk 645),"1.3793182, 103.8422318"
Nathan Road (Nathan Suites),"1.2949977, 103.8269575"
Maju Avenue,"1.3646229, 103.8654682"
Kio Avenue 1 lk 304),"1.3663881, 103.8450172"
nds Crescent k 787D),"1.4454474, 103.8016348"
Bedok Reservoir Road (Blk 635),"1.3307863, 103.9049059"
Woodlands Circle (Blk 726),"1.4441204, 103.7995747"
n Lepas,The address probably not exists
Bedok North Road (Blk 75),"1.3279202, 103.9420891"
Jalan Damai (Blk 669),"1.3331624, 103.9084630"
Jalan Bilal,"1.3221740, 103.9540573"
Mariam Way,"1.3608335, 103.9684627"
g G Telok urau,"1.3171163, 103.9101586"
Woodlands Avenue 6 (Blk 789),"1.4434424, 103.8023818"
Senja Road (Blk 636C),"1.3873616, 103.7590131"
Woodlands Drive 72 (Blk 798),"1.4437287, 103.8035591"
Dunbar Walk,"1.3126061, 103.9166691"
Leith Road,"1.3618634, 103.8750167"
Pasir Ris Street 21 (Blk 204),"1.3674148, 103.9626450"
Choa Chu ang Avenue 3 (Blk 408),"1.3804311, 103.7407281"
Sin Ming Walk (The Gardens at Bishan),"1.3648162, 103.8306472"
Circuit Road (Blk 47),"1.3259032, 103.8855366"
Ang Mo Kio Avenue 1(Blk 304),"1.3663881, 103.8450172"
Bedok Reservoir Road (Blk 623),"1.3336266, 103.9168007"
Woodlands Drive 62 (Blk 682B),"1.4405712, 103.8037402"
Pasir Ris Street 21 (Blk 240),"1.3734738, 103.9627583"
n Punai,"1.3297460, 103.9075853"
Choa Chu Kang Avenue 4 (Blk 429),"1.3827992, 103.7401172"
Pasir Ris Drive 6 (Blk 415),"1.3718465, 103.9562535"
pper Aljunied Lane (Blk 5),"1.3337035, 103.8798250"
Bedok eservoir Road (Waterfront Key),"1.3374181, 103.9312016"
Tampines Street 42 (Blk 450A),"1.3583791, 103.9522420"
Commonwealth Crescent (Blk 97),"1.3061845, 103.8014763"
Bedok eservoir Road (Blk 115),"1.3306733, 103.9086442"
ys,"1.3009240, 103.7484430"
Tampines Street 21 (Blk 203),"1.3522288, 103.9524233"
Jalan Grisek,"1.3244590, 103.9179367"
Lorong 13 Geylang,"1.3131134, 103.8775546"
Woodlands Avenue 6 (Blk 723),"1.4455229, 103.7989644"
Potong Pasir Avenue 1 (Blk 122),"1.3351250, 103.8662833"
Punggol Drive (Blk 664A),"1.3995531, 103.9174911"
Choa Chu Kang Loop (The Warren),"1.3862925, 103.7434858"
Chermat,"1.3516677, 103.8783188"
ougang Street 11 (Blk 154),"1.3522129, 103.8800095"
s Avenue,"1.3309716, 103.9665053"
nds Drive 75 k 689B),"1.4445799, 103.8083586"
Sea Breeze Avenue,"1.3374304, 103.9527258"
Sims Place (Blk 63),"1.3165145, 103.8796619"
Woodlands Drive 62 (Blk 681D),"1.4400585, 103.8035591"
hoa Chu Kang Avenue 3 (Blk 292),"1.3782930, 103.7396790"
hiat Road,"1.3064928, 103.8333124"
Tah Ching Road (Blk 327),"1.3362832, 103.7226268"
ap Road,"1.3051828, 103.8309224"
hoa Chu Kang Central (Blk 353),"1.3820832, 103.7434209"
Boon Lay Drive (Blk 266),"1.3463387, 103.7063401"
Tampines Street 21 (Blk 262),"1.3537767, 103.9506103"
Pipit Road (Blk 92),"1.3234235, 103.8873262"
Teck Whye Cresscent (Blk 165A),"1.3826708, 103.7535492"
Bishan Street 13 (Blk 178),"1.3481090, 103.8522570"
Chai Chee Street (Blk 42),"1.3279408, 103.9257735"
Jurong West Street 93 (Blk 989D),"1.3355640, 103.6954668"
Kaki Bukit Road 1,"1.3343353, 103.9021900"
Jurong East Street 24 (Blk 257),"1.3446131, 103.7390105"
hee Road lk 61),"1.3316698, 103.8711799"
Sembawang Close (Blk 334),"1.4477627, 103.8159657"
Syed Alwi Road,"1.3082082, 103.8571460"
Saint Michael's Road (One St. Michael's),"1.3246567, 103.8651947"
nds Drive 62 k 682B),"1.4405712, 103.8037402"
Island Gardens Walk,"1.3619496, 103.8290949"
23 Geylang,"1.3151388, 103.8813018"
Circuit Road (Blk 65),"1.3274300, 103.8872582"
Rivervale Crescent (Blk 150),"1.3924541, 103.9060434"
Jalan Leban,"1.3732041, 103.8307393"
hiat Walk,"1.3151917, 103.9132731"
Bedok South Road (Blk 163),"1.3197012, 103.9466216"
unos Crescent (Blk 6),"1.3213965, 103.9041996"
yoh Central lk 177),"1.3341220, 103.8489460"
n Tarum,"1.3738957, 103.8315861"
Pandan Gardens (Blk 404),"1.3198704, 103.7492367"
Lorong 1 Toa Payoh (Blk 115),"1.3407036, 103.8445869"
Geylang East Avenue 1 (Blk 134),"1.3159490, 103.8859029"
Bedok Reservoir View (The Clearwater),"1.3372518, 103.9345989"
