Location,No. of Dengue Cases
PINES STREET 11 (BLK 102),1
PINES STREET 11 (BLK 111),3
PINES STREET 11 (BLK 112),1
PINES STREET 11 (BLK 113),1
PINES STREET 11 (BLK 114),4
PINES STREET 11 (BLK 118),5
PINES STREET 11 (BLK 119),2
PINES STREET 11 (BLK 120),3
PINES STREET 11 (BLK 121),3
PINES STREET 11 (BLK 123),3
PINES STREET 11 (BLK 129),1
PINES STREET 11 (BLK 131),1
"",
PINES STREET 11 (BLK 134),5
PINES STREET 11 (BLK 135),4
PINES STREET 11 (BLK 138),1
Location,No. of Dengue Cases
LORONG CHUAN,20
NGOON AVENUE 2 (BLK 302),1
NGOON AVENUE 2 (BLK 303),2
NGOON AVENUE 2 (BLK 305),3
NGOON AVENUE 2 (BLK 306),1
NGOON AVENUE 2 (BLK 307),2
NGOON AVENUE 2 (BLK 310),1
NGOON AVENUE 2 (BLK 313),1
NGOON AVENUE 2 (BLK 315),2
NGOON AVENUE 2 (BLK 318),2
Location,No. of Dengue Cases
DAISY AVENUE,9
BRADDELL ROAD,3
DAISY ROAD,6
JALAN LATEH,3
SOMMERVILLE ROAD,5
SOMMERVILLE WALK,1
Location,No. of Dengue Cases
HUN AVENUE 11 (BLK 343),2
HUN AVENUE 11 (BLK 344),1
HUN AVENUE 11 (BLK 345),2
HUN AVENUE 11 (BLK 346),1
HUN RING ROAD (BLK 342),2
HUN RING ROAD (BLK 357),1
HUN RING ROAD (BLK 361),3
HUN RING ROAD (BLK 363),3
HUN RING ROAD (BLK 364),2
UNRING ROAD (BLK 365),3
UNRING ROAD (BLK 366),2
HUN RING ROAD (BLK 367),6
HUN RING ROAD (BLK 410),1
Location,No. of Dengue Cases
ANJANG RING ROAD (BLK 236),1
ANJANG RING ROAD (BLK 237),1
ANJANG RING ROAD (BLK 238),2
ANJANG RING ROAD (BLK 240),1
ANJANG RING ROAD (BLK 241),1
ANJANG RING ROAD (BLK 244),1
ANGSA ROAD (BLK 101),2
ANGSA ROAD (BLK 102),1
ANGSA ROAD (BLK 104),2
ANGSA ROAD (BLK 173),1
ENDING ROAD (BLK 112),2
ENDING ROAD (BLK 113),6
ENDING ROAD (BLK 115),4
ENDING ROAD (BLK 121),1
ENDING ROAD (BLK 125),2
Location,No. of Dengue Cases
CHANGI ROAD,2
JALAN EUNOS,3
JOO CHIAT PLACE,1
KAMPONG EUNOS,3
RONG G TELOK KURAU,9
RONG H TELOK KURAU,5
LORONG SARINA,2
Location,No. of Dengue Cases
AJAR ROAD (BLK 402),3
AJAR ROAD (BLK 403),5
AJAR ROAD (BLK 404),9
AJAR ROAD (BLK 407),2
"",
gency,,
AJAR ROAD (BLK 408),1,
UJANA ROAD (BLK 409),1,
UJANA ROAD (BLK 410),1,
UJANA ROAD (BLK 414),2,
UJANA ROAD (BLK 416),1,
Location,No. of Dengue Cases,
ALAN LOYANG BESAR,17,
Location,No. of Dengue Cases,
JEDBURGH GARDENS,3,
BOWMONT GARDENS,7,
FRANKEL AVENUE,3,
SIGLAP DRIVE,2,
WILTON GARDENS,1,
Location,No. of Dengue Cases,
JALAN PARAS,2,
JALAN SELAMAT,1,
JALAN SENANG,6,
JALAN SENYUM,1,
ORONG KEMBANGAN,1,
SENANG CRESCENT,2,
TAMAN KEMBANGAN,2,
Location,No. of Dengue Cases,
HUN STREET 21 (BLK 202),1,
HUN STREET 21 (BLK 204),3,
HUN STREET 21 (BLK 205),1,
HUN STREET 21 (BLK 206),1,
HUN STREET 21 (BLK 207),1,
HUN STREET 21 (BLK 209),1,
HUN STREET 21 (BLK 210),1,
HUN STREET 21 (BLK 211),1,
HUN STREET 21 (BLK 212),4,
HUN STREET 21 (BLK 213),1,
Location,No. of Dengue Cases,
AROOZOO AVENUE,1,
JALAN MASTULI,5,
JALAN PELIKAT,3,
JALAN SAMARINDA,1,
JALAN SONGKET,3,
Location,No. of Dengue Cases,
BRADDELL HILL,13,
Location,No. of Dengue Cases,
GEYLANG ROAD,1,
LORONG 12 GEYLANG,1,
LORONG 14 GEYLANG,2,
LORONG 15 GEYLANG,1,
LORONG 16 GEYLANG,5,
LORONG 19 GEYLANG,1,
LORONG 23 GEYLANG,1,
Location,No. of Dengue Cases,
LI HWAN DRIVE,1,
LI HWAN PLACE,2,
LI HWAN TERRACE,4,
LI HWAN VIEW,1,
LI HWAN WALK,4,
Location,No. of Dengue Cases,
VERNON PARK,11,
Location,No. of Dengue Cases,
RER PARK STATION ROAD,1,
JOO AVENUE,3,
RANGOON ROAD,2,
S GOON ROAD,1,
SING AVENUE,3,
Location,No. of Dengue Cases,
IMEI STREET 1 (BLK 101),1,
"",,6/
IMEI STREET 1 (BLK 102),2
IMEI STREET 1 (BLK 105),2
IMEI STREET 1 (BLK 107),2
IMEI STREET 1 (BLK 108),1
IMEI STREET 1 (BLK 109),1
Location,No. of Dengue Cases
LAN GOTONG ROYONG,2
THRIFT DRIVE,2
UPPER PAYA LEBAR,3
Location,No. of Dengue Cases
JALAN LOYANG BESAR,1
OYANG BESAR CLOSE,6
"",
Location,No. of Dengue Cases
U KANG AVENUE 5 (BLK 476A),2
HU KANG AVENUE 5 (BLK 483),1
HU KANG AVENUE 5 (BLK 484),1
U KANG AVENUE 5 (BLK 485A),1
U KANG AVENUE 5 (BLK 485C),1
Location,No. of Dengue Cases
HUN STREET 81 (BLK 866),4
HUN STREET 81 (BLK 867),2
Location,No. of Dengue Cases
HUN AVENUE 5 (BLK 703),1
HUN AVENUE 5 (BLK 704),1
HUN AVENUE 5 (BLK 707),1
HUN AVENUE 5 (BLK 710),1
HUN AVENUE 5 (BLK 711),1
Location,No. of Dengue Cases
HUN RING ROAD (BLK 402),3
HUN RING ROAD (BLK 411),2
Location,No. of Dengue Cases
RESERVOIR ROAD (BLK 717),3
RESERVOIR ROAD (BLK 721),1
"",
Location,No. of Dengue Cases
SSIA CRESCENT (BLK 54),1
GUILLEMARD ROAD,2
LORONG 28 GEYLANG,1
Location,No. of Dengue Cases
JOO CHIAT AVENUE,1
RONG G TELOK KURAU,1
RONG H TELOK KURAU,2
Location,No. of Dengue Cases
LORONG 28 GEYLANG,2
LORONG 29 GEYLANG,1
LORONG 32 GEYLANG,1
Location,No. of Dengue Cases
MIRALTY LINK (BLK 488),1
MIRALTY LINK (BLK 489),2
Location,No. of Dengue Cases
APPY AVENUE NORTH,1
MACPHERSON ROAD,2
Location,No. of Dengue Cases
GANG AVENUE 8 (BLK 611),1
GANG AVENUE 8 (BLK 619),1
GANG AVENUE 8 (BLK 626),1
Location,No. of Dengue Cases
ALAN BAHAGIA (BLK 32),1
HAMPOA ROAD (BLK 114),1
HAMPOA ROAD (BLK 115),1
Location,No. of Dengue Cases
"",
Location,No. of Dengue Cases
PINES STREET 91 (BLK 929),1
PINES STREET 91 (BLK 932),2
Location,No. of Dengue Cases
AH HOOD ROAD,2
Location,No. of Dengue Cases
RESERVOIR ROAD (BLK 614),1
RESERVOIR ROAD (BLK 623),1
Location,No. of Dengue Cases
ASSVALE WALK (BLK 224A),1
ASSVALE WALK (BLK 226B),1
Location,No. of Dengue Cases
EVERGREEN AVENUE,1
VERGREEN GARDENS,1
Location,No. of Dengue Cases
HAIG ROAD (BLK 7),1
HAIG ROAD (BLK 11),1
Location,No. of Dengue Cases
HOUGANG AVENUE 7,2
Location,No. of Dengue Cases
JALAN LIMBOK,2
"",
Location,No. of Dengue Cases
G WEST AVENUE 1 (BLK 488),1
G WEST STREET 41 (BLK 477),1
"",
"",
Location,No. of Dengue Cases
WEST CENTRAL 1 (BLK 680A),1
WEST CENTRAL 1 (BLK 677B),1
"",
Location,No. of Dengue Cases
LANGSAT ROAD,1
LORONG 108 CHANGI,1
Location,No. of Dengue Cases
NG 1 TOA PAYOH (BLK 126),1
NG 1 TOA PAYOH (BLK 128),1
"",
Location,No. of Dengue Cases
LORONG BANDANG,1
ORONG J TELOK KURAU,1
"",
Location,No. of Dengue Cases
ARYMOUNT TERRACE,2
Location,No. of Dengue Cases
RIVERINA CRESCENT,1
RIVERINA VIEW,1
Location,No. of Dengue Cases
SIMS PLACE (BLK 52),1
SIMS PLACE (BLK 53),1
Location,No. of Dengue Cases
PINES STREET 42 (BLK 451),1
PINES STREET 42 (BLK 457),1
Location,No. of Dengue Cases
PINES STREET 72 (BLK 717),1
PINES STREET 72 (BLK 718),1
Location,No. of Dengue Cases
TANJONG RHU ROAD,2
nnect With Us,"GO TONEA Website"
gency,,
"",Copyright,2013 National Environment Agency. All rights reserve
"",,9/
gency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
cases occur within 14 days and the homes of the dengue,,,,
"cluster boundary, please click on the cluster locality.",,,,
r. Each alert level is associated with a list of preventive actions,,,,
There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
xt Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
G WEST STREET 74 (BLK 759),,1,,
G WEST STREET 74 (BLK 760),,1,,
G WEST STREET 74 (BLK 761),,1,,
G WEST STREET 74 (BLK 764),,3,,
G WEST STREET 74 (BLK 765),,1,,
G WEST STREET 74 (BLK 766),,1,,
WESTWOOD AVENUE,,39,,
ESTWOOD CRESCENT,,15,,
WESTWOOD DRIVE,,6,,
WESTWOOD ROAD,,2,,
ESTWOOD TERRACE,,20,,
WESTWOOD WALK,,11,,
Location No. of Dengue Cases,,,,
HU KANG STREET 51 (BLK 515),,4,,
HU KANG STREET 51 (BLK 523),,2,,
HU KANG STREET 51 (BLK 525),,5,,
HU KANG STREET 51 (BLK 526),,2,,
HU KANG STREET 51 (BLK 527),,2,,
HU KANG STREET 51 (BLK 528),,2,,
HU KANG STREET 51 (BLK 529),,1,,
"",,,,1/
HU KANG STREET 51 (BLK 531),1
HU KANG STREET 52 (BLK 540),2
HU KANG STREET 52 (BLK 541),4
HU KANG STREET 52 (BLK 542),3
HU KANG STREET 52 (BLK 543),5
HU KANG STREET 52 (BLK 544),3
HU KANG STREET 52 (BLK 545),6
HU KANG STREET 52 (BLK 547),10
HU KANG STREET 52 (BLK 548),8
HU KANG STREET 52 (BLK 549),4
HU KANG STREET 52 (BLK 550),14
HU KANG STREET 52 (BLK 551),5
HU KANG STREET 52 (BLK 552),10
Location,No. of Dengue Cases
LORONG CHUAN,22
NGOON AVENUE 2 (BLK 302),1
NGOON AVENUE 2 (BLK 303),2
NGOON AVENUE 2 (BLK 305),3
NGOON AVENUE 2 (BLK 306),1
NGOON AVENUE 2 (BLK 307),3
NGOON AVENUE 2 (BLK 309),1
NGOON AVENUE 2 (BLK 310),1
NGOON AVENUE 2 (BLK 312),1
NGOON AVENUE 2 (BLK 313),1
NGOON AVENUE 2 (BLK 315),3
NGOON AVENUE 2 (BLK 318),2
Location,No. of Dengue Cases
UN AVENUE 11 (BLK 343),2
UN AVENUE 11 (BLK 344),1
UN AVENUE 11 (BLK 345),2
UN AVENUE 11 (BLK 346),1
UN RING ROAD (BLK 342),2
UN RING ROAD (BLK 357),1
UN RING ROAD (BLK 361),3
UN RING ROAD (BLK 362),1
UN RING ROAD (BLK 363),3
UN RING ROAD (BLK 364),4
UNRING ROAD (BLK 365),3
UNRING ROAD (BLK 366),3
UN RING ROAD (BLK 367),9
UN RING ROAD (BLK 410),1
Location,No. of Dengue Cases
AJAR ROAD (BLK 402),4
AJAR ROAD (BLK 403),6
AJAR ROAD (BLK 404),11
AJAR ROAD (BLK 407),2
AJAR ROAD (BLK 408),1
AJAR ROAD (BLK 436),1
UJANA ROAD (BLK 409),1
UJANA ROAD (BLK 410),1
UJANA ROAD (BLK 414),2
UJANA ROAD (BLK 416),1
Location,No. of Dengue Cases
BRADDELL HILL,21
Location,No. of Dengue Cases
ALAN LOYANG BESAR,21
Location,No. of Dengue Cases
LAN GOTONG ROYONG,3
ROCHDALE ROAD,5
THRIFT DRIVE,4
PER PAYA LEBAR ROAD,7
Location,No. of Dengue Cases
UN STREET 21 (BLK 201),1
UN STREET 21 (BLK 202),2
UN STREET 21 (BLK 204),3
UN STREET 21 (BLK 205),1
UN STREET 21 (BLK 206),1
UN STREET 21 (BLK 207),1
UN STREET 21 (BLK 209),1
UN STREET 21 (BLK 210),1
UN STREET 21 (BLK 211),1
UN STREET 21 (BLK 212),4
UN STREET 21 (BLK 213),1
Location,No. of Dengue Cases
LI HWAN DRIVE,1
LI HWAN PLACE,2
LI HWAN TERRACE,4
LI HWAN VIEW,3
LI HWAN WALK,4
Location,No. of Dengue Cases
RER PARK STATION ROAD,1
JOO AVENUE,3
OWEN ROAD,1
RANGOON ROAD,3
SGOON ROAD,1
SING AVENUE,3
Location,No. of Dengue Cases
RESERVOIR ROAD (BLK 717),8
RESERVOIR ROAD (BLK 718),1
RESERVOIR ROAD (BLK 721),1
Location,No. of Dengue Cases
DEFU AVENUE 1,1
DEFU LANE 9,6
DEFU LANE 10,1
Location,No. of Dengue Cases
GOODLINK PARK,1
JALAN MATA AYER,3
N LENGKOK SEMBAWANG,1
Location,No. of Dengue Cases
HUN STREET 81 (BLK 865),1
HUN STREET 81 (BLK 866),4
HUN STREET 81 (BLK 867),2
Location,No. of Dengue Cases
AROOZOO AVENUE,1
JALAN SONGKET,5
Location,No. of Dengue Cases
GANG AVENUE 8 (BLK 611),1
GANG AVENUE 8 (BLK 618),1
GANG AVENUE 8 (BLK 619),1
GANG AVENUE 8 (BLK 623),1
GANG AVENUE 8 (BLK 626),1
GANG AVENUE 8 (BLK 630),1
Location,No. of Dengue Cases
BI AVENUE 1 (BLK 319),1
BI AVENUE 1 (BLK 323),1
BI AVENUE 1 (BLK 327),1
BI AVENUE 1 (BLK 328),1
BI AVENUE 1 (BLK 329),1
BI AVENUE 1 (BLK 330),1
Location,No. of Dengue Cases
UBI ROAD 1,2
UBI ROAD 3,4
Location,No. of Dengue Cases
HARRISON ROAD,1
PEREIRA ROAD,1
SHAW ROAD,2
Location,No. of Dengue Cases
"",
INES STREET 72 (BLK 735),1
INES STREET 72 (BLK 736),1
Location,No. of Dengue Cases
BEACH ROAD (BLK 1),1
BEACH ROAD (BLK 4),1
TH BRIDGE ROAD (BLK 7),1
Location,No. of Dengue Cases
ANG STREET 51 (BLK 569),1
ANG STREET 51 (BLK 572),1
ANG STREET 61 (BLK 693),1
Location,No. of Dengue Cases
WEST STREET 52 (BLK 517C),2
WEST STREET 52 (BLK 518E),1
"",
Location,No. of Dengue Cases
RIVERVALE LINK,3
"",
Location,No. of Dengue Cases
PINES AVENUE 8 (BLK 879),1
INES STREET 84 (BLK 883),2
"",
Location,No. of Dengue Cases
INES STREET 11 (BLK 104),1
INES STREET 11 (BLK 114),1
INES STREET 11 (BLK 119),1
Location,No. of Dengue Cases
HUN STREET 22 (BLK 273),3
"",
Location,No. of Dengue Cases
O KIO AVENUE 1 (BLK 303),1
O KIO AVENUE 3 (BLK 302),1
"",
Location,No. of Dengue Cases
OK SOUTH ROAD (BLK 163),1
OK SOUTH ROAD (BLK 165),1
"",
Location,No. of Dengue Cases
ON KENG ROAD (BLK 4),1
ON KENG ROAD (BLK 5),1
Location,No. of Dengue Cases
IRCUIT ROAD (BLK 42),1
IRCUIT ROAD (BLK 62),1
Location,No. of Dengue Cases
ASSVALE LANE (BLK 207D),2
"",
Location,No. of Dengue Cases
RENCH ROAD (BLK 811),1
ORGESAVENUE (BLK 803),1
"",
Location,No. of Dengue Cases
YLANG BAHRU (BLK 54),2
"",
Location,No. of Dengue Cases
GANG AVENUE 1 (BLK 110),1
JALAN PELIKAT,1
"",
Location,No. of Dengue Cases
GANG AVENUE 5 (BLK 360),1
GANG AVENUE 5 (BLK 362),1
Location,No. of Dengue Cases
G WEST STREET 81 (BLK 857),2
"",
Location,No. of Dengue Cases
LORONG 110 CHANGI,1
RONG H TELOK KURAU,1
"",
Location,No. of Dengue Cases
ON NORTH AVENUE 3 (BLK 550),1
ON NORTH AVENUE 3 (BLK 551),1
"",
"",
TAMPINES AVENUE 1,2,
Location,No. of Dengue Cases,
INES STREET 81 (BLK 895A),1,
INES STREET 81 (BLK 896A),1,
Location,No. of Dengue Cases,
EST COAST CRESCENT,2,
Location,No. of Dengue Cases,
HUN AVENUE 3 (BLK 773),1,
HUN AVENUE 3 (BLK 774),1,
"",,
Location,No. of Dengue Cases,
UN RING ROAD (BLK 312),1,
UN RING ROAD (BLK 314),1,
nnect With Us,"GO TONEA Website"
"",
"",
gency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
cases occur within 14 days and the homes of the dengue,,,,
"cluster boundary, please click on the cluster locality.",,,,
r. Each alert level is associated with a list of preventive actions,,,,
There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
xt Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
G WEST STREET 74 (BLK 759),,1,,
G WEST STREET 74 (BLK 760),,1,,
G WEST STREET 74 (BLK 761),,1,,
G WEST STREET 74 (BLK 764),,3,,
G WEST STREET 74 (BLK 765),,1,,
G WEST STREET 74 (BLK 766),,1,,
WESTWOOD AVENUE,,39,,
ESTWOOD CRESCENT,,15,,
WESTWOOD DRIVE,,6,,
WESTWOOD ROAD,,2,,
WESTWOOD TERRACE,,20,,
WESTWOOD WALK,,11,,
Location No. of Dengue Cases,,,,
LORONG CHUAN,,22,,
NGOON AVENUE 2 (BLK 302),,1,,
NGOON AVENUE 2 (BLK 303),,2,,
NGOON AVENUE 2 (BLK 305),,3,,
NGOON AVENUE 2 (BLK 306),,1,,
NGOON AVENUE 2 (BLK 307),,3,,
NGOON AVENUE 2 (BLK 309),,1,,
"",,,,1/
NGOON AVENUE 2 (BLK 310),1
NGOON AVENUE 2 (BLK 312),1
NGOON AVENUE 2 (BLK 313),1
NGOON AVENUE 2 (BLK 315),3
NGOON AVENUE 2 (BLK 318),2
Location,No. of Dengue Cases
AJAR ROAD (BLK 402),4
AJAR ROAD (BLK 403),8
AJAR ROAD (BLK 404),15
AJAR ROAD (BLK 407),5
AJAR ROAD (BLK 408),1
AJAR ROAD (BLK 436),1
AJAR ROAD (BLK 439),1
UJANA ROAD (BLK 409),1
UJANA ROAD (BLK 410),1
UJANA ROAD (BLK 414),1
UJANA ROAD (BLK 416),2
Location,No. of Dengue Cases
HUN AVENUE 11 (BLK 343),2
HUN AVENUE 11 (BLK 344),1
HUN AVENUE 11 (BLK 345),2
HUN AVENUE 11 (BLK 346),1
HUN RING ROAD (BLK 342),2
HUN RING ROAD (BLK 357),1
HUN RING ROAD (BLK 359),1
HUN RING ROAD (BLK 361),3
HUN RING ROAD (BLK 362),1
HUN RING ROAD (BLK 363),3
HUN RING ROAD (BLK 364),4
UNRING ROAD (BLK 365),3
UNRING ROAD (BLK 366),4
HUN RING ROAD (BLK 367),9
HUN RING ROAD (BLK 410),1
Location,No. of Dengue Cases
ALAN GOTONG ROYONG,4
ROCHDALE ROAD,5
THRIFT DRIVE,4
PER PAYA LEBAR ROAD,8
Location,No. of Dengue Cases
HUN STREET 21 (BLK 201),1
HUN STREET 21 (BLK 202),2
HUN STREET 21 (BLK 204),3
HUN STREET 21 (BLK 205),1
HUN STREET 21 (BLK 206),1
HUN STREET 21 (BLK 207),1
HUN STREET 21 (BLK 209),1
HUN STREET 21 (BLK 210),1
HUN STREET 21 (BLK 211),1
HUN STREET 21 (BLK 212),4
HUN STREET 21 (BLK 213),1
Location,No. of Dengue Cases
LI HWAN DRIVE,1
LI HWAN PLACE,2
LI HWAN TERRACE,4
LI HWAN VIEW,4
LI HWAN WALK,4
Location,No. of Dengue Cases
RESERVOIR ROAD (BLK 716),1
RESERVOIR ROAD (BLK 717),8
RESERVOIR ROAD (BLK 718),2
RESERVOIR ROAD (BLK 721),1
Location,No. of Dengue Cases
PINES STREET 71 (BLK 730),1
PINES STREET 71 (BLK 733),1
"",
gency,,
PINES STREET 72 (BLK 717),2,
PINES STREET 72 (BLK 718),1,
PINES STREET 72 (BLK 720),1,
PINES STREET 72 (BLK 723),1,
PINES STREET 72 (BLK 735),2,
PINES STREET 72 (BLK 736),2,
Location,No. of Dengue Cases,
DEFU AVENUE 1,1,
DEFU LANE 9,6,
DEFU LANE 10,1,
Location,No. of Dengue Cases,
GOODLINK PARK,1,
JALAN MATA AYER,3,
N LENGKOK SEMBAWANG,1,
Location,No. of Dengue Cases,
BI AVENUE 1 (BLK 315),1,
BI AVENUE 1 (BLK 319),1,
BI AVENUE 1 (BLK 323),1,
BI AVENUE 1 (BLK 327),2,
BI AVENUE 1 (BLK 328),1,
BI AVENUE 1 (BLK 329),1,
BI AVENUE 1 (BLK 330),1,
Location,No. of Dengue Cases,
AROOZOO AVENUE,1,
JALAN SONGKET,5,
SURIN AVE,1,
Location,No. of Dengue Cases,
GANG STREET 51 (BLK 569),1,
GANG STREET 51 (BLK 572),1,
GANG STREET 61 (BLK 693),1,
Location,No. of Dengue Cases,
OK SOUTH ROAD (BLK 163),1,
OK SOUTH ROAD (BLK 165),1,
Location,No. of Dengue Cases,
HARRISON ROAD,1,
PEREIRA ROAD,1,
SHAW ROAD,2,
Location,No. of Dengue Cases,
WEST STREET 52 (BLK 517C),3,
WEST STREET 52 (BLK 518E),1,
Location,No. of Dengue Cases,
PINES AVENUE 8 (BLK 879),1,
PINES STREET 84 (BLK 883),2,
Location,No. of Dengue Cases,
UBI ROAD 1,2,
UBI ROAD 3,2,
Location,No. of Dengue Cases,
BEACH ROAD (BLK 1),1,
BEACH ROAD (BLK 4),1,
RTH BRIDGE ROAD (BLK 7),1,
Location,No. of Dengue Cases,
CHU KANG DRIVE (BLK 785),1,
CHU KANG DRIVE (BLK 786),1,
CHU KANG NORTH 6 (BLK 788),1,
Location,No. of Dengue Cases,
GANG AVENUE 9 (BLK 954),1,
GANG AVENUE 9 (BLK 962),1,
GANG STREET 91 (BLK 967),1,
Location,No. of Dengue Cases,
JALAN MARIAM,1,
ER CHANGI ROAD NORTH,2,
"",,3/
Location,No. of Dengue Cases
JOO CHIAT AVENUE,1
LORONG 110 CHANGI,1
ORONG H TELOK KURAU,1
Location,No. of Dengue Cases
LORONG 9 GEYLANG,1
LORONG 11 GEYLANG,1
LORONG 15 GEYLANG,1
Location,No. of Dengue Cases
RIVERVALE LINK,3
Location,No. of Dengue Cases
INES STREET 81 (BLK 895A),1
"` (BLK 896A)",1
"",
Location,No. of Dengue Cases
ISHUN ST 71 ( BLK 719),2
ISHUN ST 71 ( BLK 722),1
"",
Location,No. of Dengue Cases
MO KIO AVENUE 1 (BLK 303),1
MO KIO AVENUE 3 (BLK 302),1
"",
Location,No. of Dengue Cases
MO KIO AVE 10 (BLK 440),1
MO KIO AVE 10 (BLK 443),1
"",
Location,No. of Dengue Cases
BELIMBING AVENUE,1
LORONG BUNGA,1
Location,No. of Dengue Cases
ANJANG RING ROAD (BLK 243),1
ANJANG RING ROAD (BLK 244),1
"",
Location,No. of Dengue Cases
BUTTERWORTH LANE,1
IPOH LANE,1
Location,No. of Dengue Cases
PASSVALE LANE (BLK 207D),2
"",
Location,No. of Dengue Cases
RENCH ROAD (BLK 811),1
EORGESAVENUE (BLK 803),1
"",
Location,No. of Dengue Cases
EYLANG BAHRU (BLK 54),2
Location,No. of Dengue Cases
G WEST STREET 81 (BLK 857),2
Location,No. of Dengue Cases
STURDEE ROAD,1
STURDEE ROAD NORTH,1
Location,No. of Dengue Cases
HUN AVENUE 6 (BLK 403),1
HUN AVENUE 6 (BLK 404),1
Location,No. of Dengue Cases
HUN RING ROAD (BLK 312),1
HUN RING ROAD (BLK 314),1
Location,No. of Dengue Cases
HUN RING ROAD (BLK 803),1
HUN RING ROAD (BLK 806),1
"",
Location,No. of Dengue Cases
ISHUN ST 71 ( BLK 729),1
ISHUN ST 72 ( BLK 760),1
"",
"",
gency,
nnect With Us,GO TO
"",NEA Website
Copyright,2013 National Environment Agency. All rights reserve
"",5/
ncy
Dengue Cluster Information @ NEA 2013
Click here for more NEA information in OneMap
cases occur within 14 days and the homes of the dengue
"cluster boundary, please click on the cluster locality."
r. Each alert level is associated with a list of preventive actions
There are 3 alert levels:
Alert Level
Red
Yellow
ext Green
ncy,,,
"",Breakdown,,
Location,,,No. of Dengue Cases
G WEST STREET 74 (BLK 759),,,1
G WEST STREET 74 (BLK 760),,,1
G WEST STREET 74 (BLK 761),,,1
G WEST STREET 74 (BLK 764),,,3
G WEST STREET 74 (BLK 765),,,1
G WEST STREET 74 (BLK 766),,,1
WESTWOOD AVENUE,,,43
ESTWOOD CRESCENT,,,16
WESTWOOD DRIVE,,,6
WESTWOOD ROAD,,,2
WESTWOOD TERRACE,,,21
WESTWOOD WALK,,,11
Location,,,No. of Dengue Cases
FAJAR ROAD (BLK 402),,,4
FAJAR ROAD (BLK 403),,,10
FAJAR ROAD (BLK 404),,,16
FAJAR ROAD (BLK 407),,,5
FAJAR ROAD (BLK 408),,,1
FAJAR ROAD (BLK 436),,,1
FAJAR ROAD (BLK 438),,,1
FAJAR ROAD (BLK 439),,,1
UJANA ROAD (BLK 409),,,1
UJANA ROAD (BLK 410),,,2
UJANA ROAD (BLK 414),,,1
UJANA ROAD (BLK 416),,,2
Location,,,No. of Dengue Cases
HUN AVENUE 11 (BLK 343),,,2
HUN AVENUE 11 (BLK 343),2,
HUN AVENUE 11 (BLK 344),1,
HUN AVENUE 11 (BLK 345),2,
HUN AVENUE 11 (BLK 346),1,
HUN RING ROAD (BLK 342),2,
HUN RING ROAD (BLK 357),2,
HUN RING ROAD (BLK 359),3,
HUN RING ROAD (BLK 361),3,
HUN RING ROAD (BLK 362),1,
HUN RING ROAD (BLK 363),3,
HUN RING ROAD (BLK 364),4,
UNRING ROAD (BLK 365),3,
UNRING ROAD (BLK 366),4,
HUN RING ROAD (BLK 367),9,
HUN RING ROAD (BLK 410),1,
Location,No. of Dengue Cases,
PINES STREET 71 (BLK 714),1,
PINES STREET 71 (BLK 730),1,
PINES STREET 71 (BLK 731),1,
PINES STREET 71 (BLK 733),2,
PINES STREET 72 (BLK 717),2,
PINES STREET 72 (BLK 718),2,
PINES STREET 72 (BLK 720),2,
PINES STREET 72 (BLK 723),1,
PINES STREET 72 (BLK 735),5,
PINES STREET 72 (BLK 736),6,
PINES STREET 72 (BLK 737),4,
TAMPINES STREET 73,1,
Location,No. of Dengue Cases,
ALAN GOTONG ROYONG,4,
ROCHDALE ROAD,5,
"",,
PER PAYA LEBAR ROAD,9,
TAI KENG PLACE,1,
Location,No. of Dengue Cases,
CARDIFF GROVE,1,
LI HWAN DRIVE,1,
LI HWAN PLACE,4,
LI HWAN TERRACE,9,
LI HWAN VIEW,5,
LI HWAN WALK,4,
Location,No. of Dengue Cases,
RESERVOIR ROAD (BLK 716),1,
RESERVOIR ROAD (BLK 717),8,
RESERVOIR ROAD (BLK 718),2,
RESERVOIR ROAD (BLK 721),1,
Location,No. of Dengue Cases,
DEFU AVENUE 1,1,
DEFU LANE 9,8,
DEFU LANE 10,2,
SIMS DRIVE,1,
Location,No. of Dengue Cases,
BI AVENUE 1 (BLK 315),3,
BI AVENUE 1 (BLK 320),1,
BI AVENUE 1 (BLK 323),1,
BI AVENUE 1 (BLK 327),4,
BI AVENUE 1 (BLK 328),1,
BI AVENUE 1 (BLK 329),1,
BI AVENUE 1 (BLK 330),1,
Location,No. of Dengue Cases,
GEYLANG ROAD,1,
"",,
LORONG 13 GEYLANG,3,
LORONG 14 GEYLANG,1,
LORONG 15 GEYLANG,2,
LORONG 17 GEYLANG,1,
LORONG 19 GEYLANG,1,
Location,No. of Dengue Cases,
NGKANG EAST AVENUE,7,
RIVERVALE LINK,3,
Location,No. of Dengue Cases,
GOODLINK PARK,3,
